"","text","is_kelas"
"4878.content","lugu pinter tidak muluk tidak sprt ular licik tidak tentu jkrr tidak bth sprt",0
"4879.content","seperti apa nama latih fisik atau siksa didik",0
"4880.content","ikut tunggu jawab",0
"4881.content","waktu uji skt peyut plh tidak",0
"4882.content","sempat kasus rasis ngomongnya pasti beda",0
"4883.content","sempat mungkin naif bapak sempat disesuaikan mereka lebih logis",0
"4884.content","foto koleksi lama dulu bangga sekal bagi panggung sekarang rasa sulit menghorma",0
"4885.content","mbok ya lebih bumi bapak",0
"4886.content","teori bagus praktek cek lapor ombudsman kemendikbud thn benar tidak urut",0
"4887.content","astagfirullah ancur langsung negara para pemimpinnya dia",-1
"4888.content","bener sudah kaya boneka cuma ngikutin atas",0
"4889.content","dulu ngejar gilir orang kena kasus wa nongolin batang idung kaga pernah bagaimana",0
"4890.content","bila menang orang kafir jkt usir kasus yasmin bakal rembet mana mana payah",0
"4891.content","saya tambahin berak se kali",0
"4892.content","banyak baca ya spt anda otak tidak pikir rasional",-1
"4893.content","tahu kualitas semoga pemegang pilih cerdas milih program bukan sarah",0
"4894.content","mafia lendir cagub hebat hebat sekarang bapak dukung mafia",0
"4895.content","perlu ajar sejarah amukti palapa",0
"4896.content","miris sedih lihat mantan menteri bicara dendam benci",0
"4897.content","gd sudah tinggal kita mo ngikutin ya sila lo nggantung diri las",0
"4898.content","pagi tahu sore tempe mau mana arah bangsa ya orang didik karakternya demikian",0
"4899.content","semoga sukses bung",1
"4900.content","kata bapak kadang inkonsisten beliau tuju bagaimana sampa indah",0
"4901.content","bunglon ala",0
"4902.content","bapak memang paling hebat rangkai kata semua dengar indah yakin",0
"4903.content","bukan tidak tamat pecat gitu repot",-1
"4904.content","polisi larang doa anggap kerah massa bgm",0
"4905.content","jika anda masih harap agama didulukan mental anda masih belum apa",0
"4906.content","tidak papa abang lukman khan nama adu kreatif pilih wajar",0
"4907.content","vote aniessandi aniessandi ahoker gonggong bapak",-1
"4908.content","mantap bro nomer sudah makanya calon sebelah hanya guna isu sara",0
"4909.content","parah parah parah",0
"4910.content","mkanya dia pecat jokowi nyata baru tau rasis",-1
"4911.content","enak pikir positif tidak banyak nguras tenaga pikir",0
"4912.content","nama pemimpin pasti banyak bicara ya putus bijak suruh bawah eksekusi",0
"4913.content","dah gila kuasa begini jika orang guru orang politikus",0
"4914.content","guna sara kampanye sangsi tidak ya pilkada nomor th psl mudah tidak nambah ruwet",0
"4915.content","simpatisan urus dewan pimpin cabang partai bangkit bangsa jakarta selatan dukung",1
"4916.content","lihat debat besok pasti mau jatohin bapak ahokdjarot jelekin mulu bawa agama pasti rasis n fasis",0
"4917.content","bagai ajar sungguh tidak pantas apa katak orang",-1
"4918.content","alam sambut kepemimpinan beliau",1
"4919.content","iya tinggal saya cuma mau na bapak benar ingin pemimpin or cuma nafsu ingin kuasa",0
"4920.content","siapa pantas pimpin dki jakarta tentu pilih anda",0
"4921.content","jangan pilih dukung parlemen jalan mau jatuh presiden",0
"4922.content","anda wktu menteri mana",0
"4923.content","mksih mab",0
"4924.content","bukan sara mbak iklan ttg cewe it coba mbak nntn beda agama it bukan sara ayo cerna",0
"4925.content","syukurin",0
"4926.content","semoga sukses jika pilih sanggup jalan amanah titip tut wuri handayani ing ngarso sungai tulodo",1
"4927.content","saya lihat sirat kyk saya pdkt tidak pake nyatain",0
"4928.content","kira kira apa hal tidak realisasi lama anda jabat bagai menteri belum akhirnyaaa",0
"4929.content","saya sirat lbh painful surat kata abang",0
"4930.content","jangan nangis",0
"4931.content","sudah berapa lama jakarta boss jakarta begini hati tho",0
"4932.content","gentle ja tidak tim elo terus sp setan",0
"4933.content","mohon do debat akhir besok semoga kami dapat berfikir jernih",0
"4934.content","mn bs saya temu pesan tenun bangsa anda video abang jk beda agama kendala cinta",0
"4935.content","permisi bapak bagaimana bapa jelas hal",0
"4936.content","pnasaran sm merk celana dipake abang beli dmna ya terus brp harga",0
"4937.content","mungkin mau ngaca pakai spion pesawat presiden",0
"4938.content","anda jamin mereka trdidik kl mrk lingkung kumuh abang",0
"4939.content","kali mbah suara infak zakat shodaqoh pemilih tidak mau pilih atau",0
"4940.content","kaci",0
"4941.content","semua orang pemimpin tidak lihat agama anut mampu jujur adil kompetensi",0
"4942.content","baru adalah iklan cari jodoh atau iklan yutub rizieq alus message rem banget",0
"4943.content","bapak ungkap kasih sayang tanpa mi apa beda",0
"4944.content","bocah kelas v sd paksa ikut aksi fpi bela rizieq bagaimana n",0
"4945.content","cagub rasis",0
"4946.content","mungkin soal etika argueable bilang santun ya overrated tutur kata halus messagenya",0
"4947.content","pilih gubernur apa imam keluarga ya pinter bgt ya",0
"4948.content","bapak spt ular kepala kdg santun tiba bs luar biasa kejam balut senyum mau pimpin dia",0
"4949.content","mau nyamar santun apa ular teteplah oray",0
"4950.content","jilat ludah sendiri om",-1
"4951.content","nyata kagum kini hilang p aniessandi",-1
"4952.content","kaji cakup apakah anak anak difabel gabung sekolah reguler",0
"4953.content","emang tidak ya full adu program kenapa musti agama mulu bawa",0
"4954.content","suka bedak antara uang anak uang bapak potensi pecah belah rukun keluarga bahaya",0
"4955.content","foto bagi bagi duit aksi fpi bela rizieq tau sumber",0
"4956.content","r p tenun bangsa",0
"4957.content","memang bung aniessandi maen rebut dukung tidak",0
"4958.content","jangan salah pilih akhir sambut",0
"4959.content","basuki anti korupsi salam jari",0
"4960.content","anda benar tuju iklan macam seperti bapak aniessandi",0
"4961.content","bukti cinta warga jakarta ahokdjarot",0
"4962.content","subhanallaah",0
"4963.content","tidak pecat kenapa tidak bilang begitu",0
"4964.content","buat sadar inget iklan buat anak coba buat jakarta jangan coba ud ter bukti",0
"4965.content","terimakasih om lama palsu ya",0
"4966.content","om om",0
"4967.content","demokrasi wakil preferensi utama adalah iman asal semua normal jalan aniessandi aniessandi tentu pilih",0
"4968.content","intuk jakarta",0
"4969.content","iklan kampanye cagubnya malah provokasi beda agama",0
"4970.content","begitu sudah keblinger kuasa korelasi apa antara raka at witir pilkada",0
"4971.content","anw iklan kampanye bapak memang benar cerdass sangat didik benar hanya demi",0
"4972.content","main sara memang tidak layak menteri didik",-1
"4973.content","maju terus bapak tolak pantai reklamasi cebong cina",0
"4974.content","lanjut cagub",0
"4975.content","semoga laksana janji soal tidak beril sangat mudah bohong rapuh mudah daya",0
"4976.content","dasar mario teguh omong tidak suai nyata",-1
"4977.content","alexis bagaimana bapak aniessandi",0
"4978.content","jangan hafal tetap punya bukti fakta kerja jangan retorika",0
"4979.content","sby curhat dukung pkb jaksel alih",0
"4980.content","memang pilih paling tepat bagi jakarta adab",1
"4981.content","jangan pilih gubernur banyak bicara sedikit kerja ahirnya gagal semua rakyat dki sengsara",-1
"4982.content","konsolidasi saksi aniessandi aniessandi semoga tuhan berik menang",1
"4983.content","buat saya om abang bapak",0
"4984.content","gakpapa minoritas tolak mesjid mushalla penting tidak tolak tuhan",0
"4985.content","kocak om",0
"4986.content","bener mmg sgt prestasi mau r gal menteri malah pecat sekarang mau gubernur",-1
"4987.content","setelah skandal firza rizieq fpi tobat mereka",0
"4988.content","bagaimana hajar mati ideologi fpi ajar atau hajar",0
"4989.content","lama matang rencana buru cukup padahal dunia masuk jakarta ubah cepat tuntut cepat",0
"4990.content","saksi sidang ahokdjarot nyata fpi utus mereka ya",0
"4991.content","yaudh blg jangan jual pake al maidah jual program",0
"4992.content","buat apa didik beda agama tidak bole pemimpin negara",0
"4993.content","fpi tidak islami ngaku islam mesti tau siapa kelom",0
"4994.content","elo sampa ya",0
"4995.content","saya pilih pemimpin ganteng etika walo saya bukan warga jkt",1
"4996.content","tolong tidak perlu sebut minoritas mayoritas islam bagi negara lain minoritas",0
"4997.content","mantap",0
"4998.content","gali lbh program ahokdjarot saiful",0
"4999.content","turut saya sah non islam presiden memang menang pemilihan",0
"5000.content","waspada hadap fpi rusak generasi muda mah tenang",0
"5001.content","tokoh paling munafik mending to the poin anti ya anti daripada gin kaya banci didik ancur",-1
"5002.content","tetangga sebelah nasbung",0
"5003.content","waduh malah tetabgga sebelah panik ribut oasulan nasbung",0
"5004.content","gausah sebut minoritas mayoritas agama al quran memang tidak boleh politik indonesia boleh",0
"5005.content","betul bapak perlu cek nanti khusus dana bos kenapa telat ya ingat sekolah dijakarta listrik cabut pln",0
"5006.content","jawab tuduh miring kpd sbg gubernur muslim lebih baik",0
"5007.content","aalam jari tunjukn jati diri jangn orang pintar tapy tidak benar kami butuh orang pintar kami perlu orang bnr",0
"5008.content","tangkap aktor mesan ktp palsu",0
"5009.content","fpi guna oleh paslon lain pukul ber",0
"5010.content","adil sekarng condong",0
"5011.content","suku dayak tuntut fpi bubar bagaimana fpi bubar",0
"5012.content","harus desak dulu baru mau fpi",0
"5013.content","adil hanya buat punya uwang uwang ngantri bela",0
"5014.content","enak ya ngayalnya",0
"5015.content","didik kemudian cabut cita cita pemimpin bukan muslim munafik",-1
"5016.content","mbok kalu emang kamu kenapa cuman tahun kamu pimpin dikbud",0
"5017.content","mantap smg mjnd pemimpin adil",1
"5018.content","saya bingung nonaktif menteri didik masih lempar isu ttg didik memang dulu mana abang",0
"5019.content","pimpin fpi mesum tidak moral moral tidak bawah ketiak fpi",0
"5020.content","mungkin sementara adjah tenun bangsa gada tambur kapan tau tebus",0
"5021.content","cagubnya suka salah data jubirnya lebih parah suka tidak punya data senang rituit twit sampah",0
"5022.content","banyak minum air putih bapak dehidrasi ringan dapat turun konsentrasi fokus",0
"5023.content","jangan lengah menang sudah dekat",0
"5024.content","fpi punya program indonesia hajar mesra rizieq gemes lihat",0
"5025.content","thn pecat menteri br tau alas kenapa",0
"5026.content","hati hati ya teman teman abang beliau nyata ular takut saya",0
"5027.content","coblos tidak sudah bukti tidak teori",1
"5028.content","hbgn saudara antara agussylvi gubernur tanding fpi dukung",0
"5029.content","aniessandi aniessandi",1
"5030.content","mara ngantuk lebay tenan",0
"5031.content","sifat asli atau poles super kilat para usung sejak nyagub asbun asal serang",-1
"5032.content","benar iklan kampanye paslon benar shame on",0
"5033.content","mantap",0
"5034.content","cuci muka dulu tong",0
"5035.content","semua bebas tentu pilih jangan saling serang sbb pilih beda",0
"5036.content","lanjut pasang lejit tingkat elektabilitas",0
"5037.content","betul diri",0
"5038.content","suatu contoh baik calon gubernur kita yaitu aniessandi aniessandi",1
"5039.content","sudah cuma omong tenun bangsa bapak tidak ngerti apa soal bangsa",0
"5040.content","satu beda terus apa maksud kami ber peci",0
"5041.content","baru mau sebut sudah py pikir cerdas",0
"5042.content","anak muda trpilih pelosok bangun tenun bertemu realitas cetus lbh pilih kuasa",0
"5043.content","sejak nyagub asbun asal serang",-1
"5044.content","mungkin pas anda menteri pas lupa kali ya bapak mulai ingar pas sekarang",0
"5045.content","tidak heran kamu pecat",-1
"5046.content","dzikir masjid sunda kelapa malam penuh sesak oleh warga dki",0
"5047.content","republika komentar",0
"5048.content","ayo lengkap malam obrol saat pic",0
"5049.content","selalu siap gerindra",0
"5050.content","bapak monggo baca",0
"5051.content","masih relevan bapak rmh generasi milenial tantang berat",0
"5052.content","ya",0
"5053.content","cagub aniessandi aniessandi bertemu warga difabel jakarta janji bantu cari kerja bagi kaum",0
"5054.content","par tai usung dukung reklamasi bukti dprd terima titip nolak",0
"5055.content","saran mai nyalip lihat sikon mampu pribadi beli kaca cermin dulu sampa bapak aniessandi ya",-1
"5056.content","bukan ide baru biasa aj",0
"5057.content","kasihan bapak isi otakny penuh benci sara smg bapa dapat hidayah",-1
"5058.content","aniessandi sedih kuasa rela gada apa sj",-1
"5059.content","ayo kawal menang agussylvi",0
"5060.content","makin kecewa bapak padahal dulu ngefans sm beliau",-1
"5061.content","terima kasih kompas media mainstream mulai adil mt apa makna kampanye",0
"5062.content","saya tidak boleh nyoblos umiiii",0
"5063.content","iklan saya jam dulu iklan tidak bawa sara",0
"5064.content","keren kreatif kami bukan warga dki bapak kami berdo untk sukses bapak semoga tuhan meridhoi",1
"5065.content","wih kerja cagub tidak berapa ya abang nomor bukan nie kerjaanya kaya gin",0
"5066.content","sudah hati sejak gubernur lanjut tidak baru atas ide bapak",0
"5067.content","nonton ya bapak",0
"5068.content","apakah masuk anak non muslim bapak",0
"5069.content","inget ya ahokdjarot ahokdjarot",0
"5070.content","makanya bapak buang prestasi urut menteri plus munafik",-1
"5071.content","pilih sipit",0
"5072.content","tuju banget anak jalan masih keliar makin banyak dinsosnya merem bapak bro",0
"5073.content","pantes sekarang lengket sm rizieq bntr mgkn materi stand up sm kaya junjung smg tidak",0
"5074.content","niat buat mereka pemilh gelap ya tahu",0
"5075.content","sedang tonton ayo tweet seru saat nonton tagar",0
"5076.content","bapak kenapa gx buat biaya siswa gratis anak kurang mampu",0
"5077.content","semoga tidak ajar anak anak rasis kemudian hari lebih baik kurang didik drpda kelak musuh nkri",0
"5078.content","semoga menang kontestasi ya bapak",1
"5079.content","betul bapak didik cerdas bangs",0
"5080.content","tuju bapak sekarang mesjid agung sunda kelapa",0
"5081.content","omong mencla mencle",-1
"5082.content","licik santun lol",0
"5083.content","baik mula perlu biaya sangat besar hampir mustahil cang baca ya",0
"5084.content","orang datang jakarta adalah tarung juang",0
"5085.content","pas menteri salut pas pecat bertanya waktu nyalon sudah tidak respek waktu ketemu fpi muntah",-1
"5086.content","bapak kamu lupa",0
"5087.content","enak ya ahokdjarot anak emas polisi",0
"5088.content","km pantas dapat juara tidak orang bodoh",-1
"5089.content","bapak aniessandi dl saya ngefans brt sm bapak sekarang kecewa sm bapak kmn selalu dingin lebih kecewa",-1
"5090.content","aneh fir aun jujur sekal padahal tuhan pihak kepada jujuran fir aun bilang jujur tahu mana",0
"5091.content","tuju bagus kemarin begitu harap sbg sosok politis masa depan sptnya kita harap tinggi",0
"5092.content","ayo lengkap malam obrol saat",0
"5093.content","kenapa kondisi larang giat agama monas ahokdjarot padahal sk gubernur th",0
"5094.content","hanya orang kurang peknik tidak teko tidak paham apa ucap aniessandi",0
"5095.content","kaya gin mau gubernur yen halusinasi ojo kebangeten bapak",-1
"5096.content","kurang kurang ya abang mau kampanye masuk akal sehat",0
"5097.content","keyyeeennn",0
"5098.content","ya ampun bapak aniessandi dulu saya kagum bapak setelah lihat iklan kampanye bapak rasis hancur sedih hati saya",-1
"5099.content","abang kampanye begini amat ya majalah misteri lahan kampanye",0
"5100.content","bapak tidak usah ikut om",0
"5101.content","kemarin begitu harap sbg sosok politis masa depan sptnya kita harap tinggi",0
"5102.content","detik cara bicara kayak bapak",0
"5103.content","keren cari analogi emg referensi beda tidak bakal tahu puchline",0
"5104.content","enga ahokdjarot nanti kl dah gubernur liberal ya engga abang",0
"5105.content","bapak bagaimana bagaimana kalah kalian begini",0
"5106.content","terimakasih abang saya makin yakin tidak pilih",-1
"5107.content","abang dapat salam alexis sanchez lucu ya abang pe",0
"5108.content","semoga abang ingat janji ya tulis oleh orang ya jangan pura pura lupa ya",0
"5109.content","mungkin jelas masa kualitas cagub mantan menteri didik malah tidak",0
"5110.content","padahal dl banget ikut indonesia ajar kecewa bapak",0
"5111.content","memang perintah agama yakin tidak salah",0
"5112.content","cara pikir abang kata ingin bawa warga bahagia nyata hanya fantasi",0
"5113.content","kalap kyx halal sgl cara duly musuhin syiah jil",0
"5114.content","tidak memang punya alam kerja tidak sebut pernah henti atas ya",0
"5115.content","dadak pingin berak",0
"5116.content","an old low justru tunjuk dukung dukung abang tebar hoax fitnah mana",0
"5117.content","bapak aniessandi",0
"5118.content","abang kenal orang tidak abang aniessandi minta dukung orang p",0
"5119.content","jakarta beautiful ahokdjarot djarod",1
"5120.content","tidak curang tanpa rekayasa maksa maka menang",0
"5121.content","lebay banget abang abang biasa keleus",0
"5122.content","jika suasana seperti abang jangan tangis ya rizieq sampai tahan",0
"5123.content","bapak saya tidak lupa saya tidak ingkar janji saya coblos bapak ahokdjarot salam damai bapak",1
"5124.content","cagub sudah nyentuh sara tidak pantas buat pilih",-1
"5125.content","teori tanpa praktek minum tidak aernya",0
"5126.content","mantap kompak banget",0
"5127.content","abang hanya coba coba ayan rakyat dki gawat",0
"5128.content","kelas teri pake tepung peyek",0
"5129.content","makin tahu belang abang amit amit",0
"5130.content","satria piningit sudah sempurna apa diri",0
"5131.content","keren banget bapak aniessandi",1
"5132.content","ubah sangat cepat abang persis tidak diri",0
"5133.content","ngakunya dukung didik maju iklan rasis aniessandi kubur cita ajar non muslim leader wtf",0
"5134.content","mantan asbum",0
"5135.content","didik buat iklan tidak didik",0
"5136.content","malu tau salah bentar nyata iklan ilegal alias unofficial booommm",0
"5137.content","saya sudah tidak kaget abang dukung fpi saya sudah tahu mereka paham",0
"5138.content","semoga abang bs sadar ya jangan arogan debat dukung fpi malape",1
"5139.content","datang undang nyoblos bapak presiden kapolri saya harus nyoblos siapa",0
"5140.content","selamat ya abang dapat dukung fpi",1
"5141.content","jilat sana jilat sini",0
"5142.content","tanda tanda abang abang cermin diri atas apa telah",0
"5143.content","mantap bapak tanggal feb besok saya coblos tidak",0
"5144.content","nomor",0
"5145.content","bapak brrt kjp tidak brlaku non muslim cukup baca nulis uda terus ngaret mmpi",0
"5146.content","masya tuhan abang sampai puji firaun tobat abang",0
"5147.content","norak norak norak norak bapak norak",0
"5148.content","bapak sudah tiba acara abang",0
"5149.content","makin tunjuk watak abang haus kuasa cermin foto bukan rahasia umu",0
"5150.content","astaga parpol dukung abang justru fitnah abang aniessandi",0
"5151.content","saya tidak bayang jika abang gubernur dki dekat preman agama rusak",-1
"5152.content","lawan negara lain leceh nkri",0
"5153.content","bagaimana mau dukung orang lain kinerja lama menteri tidak becus kasih anda",-1
"5154.content","ngasih janji masuk akal bapak",-1
"5155.content","kepada justru buat survei aniessandi turun jauh",0
"5156.content","rembugan muncul gagas bs implementasi maju spt relasi arah",0
"5157.content","keluar asli orang",0
"5158.content","tidak punya rupiah punya uang arab ya",0
"5159.content","sendiri rusak citra politik bangsa indonesia",0
"5160.content","anda mau pilih pemimpin idola orang fir aun",0
"5161.content","astaga abang nama fitnah cuekkin abang tidak usah lebay citra",0
"5162.content","kl video mulut apa ya",0
"5163.content","benar sekal ideologi inkonsisten buat jelek buruk citra ne",-1
"5164.content","makanya abang minta dukung fpi pantesan survei tidak naik naik ciyaannn",0
"5165.content","parah banget ya bapak aniessandi",0
"5166.content","kartu kjp tidak berlaku non muslim cukup baca nulis terus ngaret gitu cocok cangkeme top",0
"5167.content","abang bos sudah mulai sindir anak sby lebih baik suruh cermin diri",0
"5168.content","dkungan fpi rasis irama mreka mrusak nkri bayang jk aniessandi brkuasa fpi mrajarela mru",0
"5169.content","abang masih ingat tidak tentang cuit bapak ingat tidak etis ya abang",0
"5170.content","maaf ya bapak saya unfollow dulu saya bukan haters bapak saya ktp sumbar saya domisili jogja saya masih ngulang htn",0
"5171.content","pasti kata butet cawang",0
"5172.content","nomor urut menang pilkada dki jakarta",0
"5173.content","mohon klarifikasi benar apa hoax",0
"5174.content","punya otak tidak",0
"5175.content","klihatannya anda kurang blajar pmp",0
"5176.content","islam adalah rahmat semesta alam apa dia sikap intoleran",0
"5177.content","abang kamu tidak boleh remeh soal debat abang bumerang buat",0
"5178.content","abang sungguh norak timses anda",0
"5179.content","kasihan iklan bedah rumah kalian tv program bedah rumah waktu bapak jokowi gubernur",0
"5180.content","objektivitas khas hilang sukses sulap",0
"5181.content","jika pilih nanti tolong jangan kecewa warga jakarta bapak aniessandi jakart butuh pemimpin tegas amanah",1
"5182.content","abang iklan jangan rasis hanya mau gubernur anda jual agama",0
"5183.content","minta dukung hanya dongkrak elektabilitas",0
"5184.content","lihat anak rusak gara fpi fpi dukung sengkuni",0
"5185.content","saya sudah capek sm laki laki banyak omong seperti abang abang stop tidak action talk",0
"5186.content","juru bicara sendiri tidak sinkron cagubnya jilat sedang jubirnya ludah",0
"5187.content","abang belum buat program kerja update berita ya belum bicara depan publik malu nanti",0
"5188.content","ya nama antek fpi ya",0
"5189.content","tidak perlu korek luar sudah lihat rasisnya orang",0
"5190.content","maaf saya orang cukup faham ttg watak arab mw kemas apa ilmu agama",0
"5191.content","kasih saya lihat dia orang khayal sejati",-1
"5192.content","pantun dlu bt abang abang tes tes ambil teh manis didlm kendi cln gbrnur emg sya plh abang aniessandi aniessandi",1
"5193.content","el sekarang doi gagas",0
"5194.content","cagub suka cari salah orang lain padahal dia sendiri tidak benar menteri dipeca",-1
"5195.content","abang tukang bohong pkb atau ya abang",0
"5196.content","keren kreatip hibur",0
"5197.content","meski tidak tutup akun medsos konten kampanye tidak unggah timses",0
"5198.content","bapak bagaimana bagaimana kalah kalian begini memang kalah",0
"5199.content","paling santer adalah sebut sbg titip jokowi boneka jokowi membelah suara umat muslim km kira surat",0
"5200.content","aniessandi pantas pecat ahokdjarot pantas penjara mikirrr",-1
"5201.content","untung pilkada dki topeng jati diri bongkar ambisi kuasa memang buat dia",0
"5202.content","wah timses blunder bapak anak sindir",0
"5203.content","agama beda ya nanti dulu",0
"5204.content","lang pasti tetap focus dukung",0
"5205.content","dulu saya pernah kritik beliau pas menteri sekarang saya dukung program beda hati guru",0
"5206.content","tim ahokdjarot acara tipu bukti",0
"5207.content","dki jakarta tidak butuh manusia gagal tidak prestasi pernah pecat jabat menteri",-1
"5208.content","pilih pemimpin rajut tenun bangsa bukan robek demi kuasa komen saya",0
"5209.content","pemahaman masalah teori praktek implementasi kait manfaat sorry strikes",0
"5210.content","apbd daya tarik buat calon wakil rakyat rakyat y umr ump",0
"5211.content","ahokdjarot sudah laksana",0
"5212.content","lperumahan kumuh bangun model triple deker warga tempat angsur",0
"5213.content","gagal paham mou jangan kagak tau lo makanya jangan sok keminter",0
"5214.content","semoga balik sudah nyebrang ya dik",0
"5215.content","seperti timsesnya perlu menjwb siapa ya timses bapak aniessandi sj jwb tunggu bapak",0
"5216.content","iklan kampanye terang terang pake senjata beda agama miko yudi at pic",0
"5217.content","retweet saya kpd orang mungkin sampai saat masih saya kagum salam sa",0
"5218.content","anda anti non muslim ya bapak dukung anda justru non muslim mnc media",0
"5219.content","saya ykn hati kecil anda rasa cuma sudah kadung timses saya tidak tau bnr tidak anda tidak bs tarik dukung",0
"5220.content","mba kualiatas spt bawah",0
"5221.content","so what said in tenun bangsa just scrap citra mata persis spt laku sang mantan",0
"5222.content","saya respect saya rela kl dia menang bgitu dia mendtgi fpi rangkul fpi respect saya hilang",0
"5223.content","belum anda tindak bapak ahokdjarot sudah lama buat tidak perlu pamer bro aniessandi",0
"5224.content","yakin tidak jual agama",0
"5225.content","sekal orang nilai orang spt apa bersukur bapak sudah mecat orang",0
"5226.content","didik buat masyarakat sejahtera akhlak baik",0
"5227.content","right orang intelek kyk beliau sgt miris mberi didik tidak jelas demi tangga",-1
"5228.content","jelas apbd dki sangat besar daya tarik bg banyak oranh",0
"5229.content","syukrlah pecat menteri skrng lihat belang sblm didik menjdi lbh hancur saya unfllow",-1
"5230.content","terus habis rekam adegan apa",0
"5231.content","kerak kerak kampanye jual agama",0
"5232.content","jangan sampai lewat malam wib",0
"5233.content","mantan",0
"5234.content","ulik sisi lain malam wib pic",0
"5235.content","saya suka reklamasi indah ky dubai saya pilih ahokdjarot pingin releks murah",1
"5236.content","saya pilih nasionalis tidak rasis",0
"5237.content","logika kenapa mereka jakarta daerah kurang janji buat mou",0
"5238.content","cari suara suporter persija superterny akebanyakan bocah bocah",0
"5239.content","presiden bukan cagub dki be jelas dki masalah",0
"5240.content","sayang sekal ya campaignnya gin komentar",0
"5241.content","penting apa mohon bukti dasar sumber data analogika jelas",0
"5242.content","sejak dl kali kmn aj abang lama menteri",0
"5243.content","santai abang broo",0
"5244.content","lebih baik kerjasama ama pemprov tetangga kerja tempat asal",0
"5245.content","rakyat dki cuma butuh gubernur jujur anti korup pungli jiwa ayan",0
"5246.content","otak yahudi laknatullah",0
"5247.content","isu sara cara trik tidak unk cari simpatik suara tidak laku s basi",0
"5248.content","penting pasti baik semua",1
"5249.content","saya orang indonesia asli abang broo",0
"5250.content","aniessandi sudah mulai rasisme",-1
"5251.content","kuasa jakarta kuasa indonesia jangan mimpi",-1
"5252.content","tuhan beri tunjuk jalan lurus kepada ahokdjarot sesat om",1
"5253.content","urus hrd bapak tiap usaha punya kriteria hrd nyeleksi perilaku bicara hrd tidak bego kali bapak",0
"5254.content","bnyk pkerja seni takut milih ahokdjarot priuk nasi aman",0
"5255.content","tidak aksi jilid hanya rutan",0
"5256.content","suami muslim bagi anda wajib tidak apa",0
"5257.content","coba anda hidup afganistan apa masih tweeteran",0
"5258.content","hugo leonandes nama sudah nama yahudi",0
"5259.content","harus banyak contoh negara timteng cinta ragam ato",0
"5260.content","emg paramadina boleh ya banding suatu beda dimensi thesis mantap bapak rektor",0
"5261.content","saksi debat ahokdjarot saiful",0
"5262.content","nyok",0
"5263.content","lucuu banget bapak sukaa nontonnyaaa",0
"5264.content","putus pkb jakarta selatan deklarasi dukung",0
"5265.content","kpn bapak aniessandi senyum",0
"5266.content","nyata benar kata orang tidak lbh bunglon",-1
"5267.content","sabar om cuma bagi taqqiya nanti kalah om balik kafir islam liberal",0
"5268.content","tenun bangsa sudah jual kayak jual pasar loak ya tidak bro",-1
"5269.content","heran kenapa dia ubah gin tokoh didik hancur bangsa semua",-1
"5270.content","aniessandi atak negara negara dunia harus ajar indonesia",0
"5271.content","berani bilang",0
"5272.content","saya ktm bapak sblm beliau menteri ajak rene tau soal indonesia ajar senang saat dia me",0
"5273.content","saya yakin anda sering titik harus pilih salah satu ketika opsi begitu beda",0
"5274.content","fixed pro fpi dalih memberdayakan tingkat umat muslim dki kedok",-1
"5275.content","cuma orang kalah banyak non islam pulang kampung gotong royong menit ditps coblos ahokdjarot",0
"5276.content","silah baca cermat ya om belum baca silah siap dulu kopi",0
"5277.content","mbk kamu tau apa tentang nista agam jangan banyak bekoar koar",0
"5278.content","behhhh bukan kalimat pecinini mksd saya iklan lainnnn",0
"5279.content","ngatain bapak aniessandi sudah rasa bener apa orang guru murid mulut pilih bapak aniessandi",0
"5280.content","kreatif bapak lucu",0
"5281.content","om selamat negri om",0
"5282.content","gusur alas apa perlu jelas agar kampanye tetap didik bos mantan",0
"5283.content","mohon klarifikasi",0
"5284.content","bukan milik kami video iklan bukan tipe kami",0
"5285.content","mksd saya bukan konteks iklan iklan lain mana pluralisme sang tokoh mulia",0
"5286.content","pasti tidak semoga menang putar pilkada dki ya bapak",1
"5287.content","cuma punya pemimpin cuman pintar omong cuman pintar omong",0
"5288.content","semua warga minta gusur menang besar tu cukong ahokdjarot",0
"5289.content","begitu pilih ya yakin saj",0
"5290.content","maju terus tidak",1
"5291.content","bahagia warga penting jangan gusur gusur melulu",0
"5292.content","arti saat pimpin ahokdjarot apbd guna lebih manfaat",0
"5293.content","satu beda damai bagi semua bawa agama kampanye nama munafik",0
"5294.content","agar datang tps modal ktp foto muka jelas bagai bukti curang paslon tipu",0
"5295.content","nama gubernur kata ahokdjarot gitu",0
"5296.content","bener kata bapak pilih pemimin rajut tenun bangsa bukan robek gabung",0
"5297.content","memang pake uang apbd dulu uang jatah rakyat korupsi",0
"5298.content","labil begitu",0
"5299.content","kita harus waspada ktp palsu memang benar abang",0
"5300.content","pasang calon tidak",0
"5301.content","males",0
"5302.content","bapak anda orang dosen apa mau gubernur dang iming tidak pasti apa anda pikir masy jakarta sudah bodoh",-1
"5303.content","monggo mampir ten fesbuk ibu emmy hafild diwaos nggih",0
"5304.content","emg pilih tidak pilih mau bikinin stadion knpa tidak dulu gilir pilkada sok peduli",0
"5305.content","pemimpin rangkul bukan pukul",0
"5306.content","info tanggal tetap masuk kerja",0
"5307.content","bwt kumur mulut bos bakteri lumayan gratis",0
"5308.content","saking prestasi sampai harus pecat ya bapak terus sakit hati begini",-1
"5309.content","pemimpinnya perlu agama tentu",0
